DATE,DGS1
1977-12-01,6.9576190476190476
1978-01-01,7.2833333333333333
1978-02-01,7.3377777777777778
1978-03-01,7.3104545454545455
1978-04-01,7.4545000000000000
1978-05-01,7.8200000000000000
1978-06-01,8.0945454545454545
1978-07-01,8.3915000000000000
1978-08-01,8.3126086956521739
1978-09-01,8.6385000000000000
1978-10-01,9.1366666666666667
1978-11-01,10.0140000000000000
1978-12-01,10.2955000000000000
1979-01-01,10.4145454545454545
1979-02-01,10.2366666666666667
1979-03-01,10.2495454545454545
1979-04-01,10.1220000000000000
1979-05-01,10.1176190476190476
1979-06-01,9.5738095238095238
1979-07-01,9.6438095238095238
1979-08-01,9.9800000000000000
1979-09-01,10.8447368421052632
1979-10-01,12.4440909090909091
1979-11-01,12.3905263157894737
1979-12-01,11.9825000000000000
1980-01-01,12.0572727272727273
1980-02-01,13.9221052631578947
1980-03-01,15.8176190476190476
1980-04-01,13.2990476190476190
1980-05-01,9.3895238095238095
1980-06-01,8.1561904761904762
1980-07-01,8.6468181818181818
1980-08-01,10.2423809523809524
1980-09-01,11.5214285714285714
1980-10-01,12.4904545454545455
1980-11-01,14.1505882352941176
1980-12-01,14.8809090909090909
1981-01-01,14.0847619047619048
1981-02-01,14.5683333333333333
1981-03-01,13.7109090909090909
1981-04-01,14.3219047619047619
1981-05-01,16.1965000000000000
1981-06-01,14.8590909090909091
1981-07-01,15.7186363636363636
1981-08-01,16.7185714285714286
1981-09-01,16.5228571428571429
1981-10-01,15.3814285714285714
1981-11-01,12.4083333333333333
1981-12-01,12.8500000000000000
1982-01-01,14.3180000000000000
1982-02-01,14.7338888888888889
1982-03-01,13.9491304347826087
1982-04-01,13.9795238095238095
1982-05-01,13.3435000000000000
1982-06-01,14.0650000000000000
1982-07-01,13.2366666666666667
1982-08-01,11.4281818181818182
1982-09-01,10.8538095238095238
1982-10-01,9.3170000000000000
1982-11-01,9.1594736842105263
1982-12-01,8.9068181818181818
1983-01-01,8.6219047619047619
1983-02-01,8.9226315789473684
1983-03-01,9.0434782608695652
1983-04-01,8.9790000000000000
1983-05-01,8.9042857142857143
1983-06-01,9.6572727272727273
1983-07-01,10.1970000000000000
1983-08-01,10.5286956521739130
1983-09-01,10.1561904761904762
1983-10-01,9.8050000000000000
1983-11-01,9.9373684210526316
1983-12-01,10.1090476190476190
1984-01-01,9.9014285714285714
1984-02-01,10.0431578947368421
1984-03-01,10.5890909090909091
1984-04-01,10.9045000000000000
1984-05-01,11.6572727272727273
1984-06-01,12.0838095238095238
1984-07-01,12.0261904761904762
1984-08-01,11.8221739130434783
1984-09-01,11.5794736842105263
1984-10-01,10.8954545454545455
1984-11-01,9.8157894736842105
1984-12-01,9.3335000000000000
1985-01-01,9.0242857142857143
1985-02-01,9.2916666666666667
1985-03-01,9.8638095238095238
1985-04-01,9.1409523809523810
1985-05-01,8.4645454545454545
1985-06-01,7.8045000000000000
1985-07-01,7.8563636363636364
1985-08-01,8.0472727272727273
1985-09-01,8.0652631578947368
1985-10-01,8.0109090909090909
1985-11-01,7.8784210526315789
1985-12-01,7.6747619047619048
1986-01-01,7.7285714285714286
1986-02-01,7.6131578947368421
1986-03-01,7.0290000000000000
1986-04-01,6.4404545454545455
1986-05-01,6.6490476190476190
1986-06-01,6.7323809523809524
1986-07-01,6.2659090909090909
1986-08-01,5.9323809523809524
1986-09-01,5.7742857142857143
1986-10-01,5.7209090909090909
1986-11-01,5.7983333333333333
1986-12-01,5.8745454545454545
1987-01-01,5.7785000000000000
1987-02-01,5.9589473684210526
1987-03-01,6.0331818181818182
1987-04-01,6.5042857142857143
1987-05-01,7.0035000000000000
1987-06-01,6.7954545454545455
1987-07-01,6.6831818181818182
1987-08-01,7.0252380952380952
1987-09-01,7.6680952380952381
1987-10-01,7.5933333333333333
1987-11-01,6.9647368421052632
1987-12-01,7.1731818181818182
1988-01-01,6.9889473684210526
1988-02-01,6.6400000000000000
1988-03-01,6.7065217391304348
1988-04-01,7.0080000000000000
1988-05-01,7.3971428571428571
1988-06-01,7.4895454545454545
1988-07-01,7.7540000000000000
1988-08-01,8.1704347826086957
1988-09-01,8.0933333333333333
1988-10-01,8.1095000000000000
1988-11-01,8.4760000000000000
1988-12-01,8.9919047619047619
1989-01-01,9.0475000000000000
1989-02-01,9.2531578947368421
1989-03-01,9.5704545454545455
1989-04-01,9.3630000000000000
1989-05-01,8.9772727272727273
1989-06-01,8.4409090909090909
1989-07-01,7.8945000000000000
1989-08-01,8.1839130434782609
1989-09-01,8.2210000000000000
1989-10-01,7.9909523809523810
1989-11-01,7.7695238095238095
1989-12-01,7.7230000000000000
1990-01-01,7.9209523809523810
1990-02-01,8.1110526315789474
1990-03-01,8.3500000000000000
1990-04-01,8.4045000000000000
1990-05-01,8.3163636363636364
1990-06-01,8.0961904761904762
1990-07-01,7.9409523809523810
1990-08-01,7.7791304347826087
1990-09-01,7.7631578947368421
1990-10-01,7.5513636363636364
1990-11-01,7.3135000000000000
1990-12-01,7.0505000000000000
1991-01-01,6.6442857142857143
1991-02-01,6.2668421052631579
1991-03-01,6.3960000000000000
1991-04-01,6.2359090909090909
1991-05-01,6.1304545454545455
1991-06-01,6.3585000000000000
1991-07-01,6.3059090909090909
1991-08-01,5.7781818181818182
1991-09-01,5.5725000000000000
1991-10-01,5.3336363636363636
1991-11-01,4.8894736842105263
1991-12-01,4.3780952380952381
1992-01-01,4.1509523809523810
1992-02-01,4.2873684210526316
1992-03-01,4.6345454545454545
1992-04-01,4.2990476190476190
1992-05-01,4.1895000000000000
